Date/Time,[kW](Hourly)
 01/01  01:00:00,237.9285182
 01/01  02:00:00,237.9285189
 01/01  03:00:00,237.928519
 01/01  04:00:00,237.9285186
 01/01  05:00:00,250.1507164
 01/01  06:00:00,274.5964451
 01/01  07:00:00,323.4839035
 01/01  08:00:00,322.2972996
 01/01  09:00:00,296.6662997
 01/01  10:00:00,359.5734209
 01/01  11:00:00,551.1761636
 01/01  12:00:00,613.1215536
 01/01  13:00:00,556.0236496
 01/01  14:00:00,614.9297635
 01/01  15:00:00,573.2537884
 01/01  16:00:00,631.5748939
 01/01  17:00:00,626.0203388
 01/01  18:00:00,566.4595214
 01/01  19:00:00,347.9282995
 01/01  20:00:00,323.483904
 01/01  21:00:00,323.4839036
 01/01  22:00:00,299.0408405
 01/01  23:00:00,274.5951123
 01/01  24:00:00,250.1507165
 01/02  01:00:00,287.7696918
 01/02  02:00:00,287.769692
 01/02  03:00:00,287.769692
 01/02  04:00:00,287.7696921
 01/02  05:00:00,299.9918898
 01/02  06:00:00,349.3579818
 01/02  07:00:00,482.2445104
 01/02  08:00:00,599.863276
 01/02  09:00:00,1173.641961
 01/02  10:00:00,1211.511944
 01/02  11:00:00,1333.998057
 01/02  12:00:00,1392.638297
 01/02  13:00:00,1364.400814
 01/02  14:00:00,1442.114425
 01/02  15:00:00,1465.469509
 01/02  16:00:00,1460.011819
 01/02  17:00:00,1499.200971
 01/02  18:00:00,1391.275965
 01/02  19:00:00,1186.059876
 01/02  20:00:00,1156.45641
 01/02  21:00:00,1003.265484
 01/02  22:00:00,974.04912
 01/02  23:00:00,349.3566489
 01/02  24:00:00,299.9918897
 01/03  01:00:00,287.7696933
 01/03  02:00:00,287.7696932
 01/03  03:00:00,287.7696932
 01/03  04:00:00,287.7696932
 01/03  05:00:00,299.9918911
 01/03  06:00:00,349.3579852
 01/03  07:00:00,618.6922194
 01/03  08:00:00,702.7833017
 01/03  09:00:00,1256.136034
 01/03  10:00:00,1270.276756
 01/03  11:00:00,1331.526803
 01/03  12:00:00,1420.026879
 01/03  13:00:00,1387.288301
 01/03  14:00:00,1440.09036
 01/03  15:00:00,1440.509143
 01/03  16:00:00,1442.070099
 01/03  17:00:00,1487.02719
 01/03  18:00:00,1405.131269
 01/03  19:00:00,1163.83714
 01/03  20:00:00,985.1443614
 01/03  21:00:00,736.2015598
 01/03  22:00:00,688.7492624
 01/03  23:00:00,349.3566502
 01/03  24:00:00,299.9918912
 01/04  01:00:00,287.7696947
 01/04  02:00:00,287.7696949
 01/04  03:00:00,287.7696948
 01/04  04:00:00,287.7696949
 01/04  05:00:00,299.9918926
 01/04  06:00:00,349.3579863
 01/04  07:00:00,430.5142951
 01/04  08:00:00,541.609389
 01/04  09:00:00,1112.96657
 01/04  10:00:00,1186.424552
 01/04  11:00:00,1275.306145
 01/04  12:00:00,1369.766096
